Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE,Postcode_py,address_py
2593,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,verma hospital,ladwa,09-Sep-19,Medical ,Bedded Hospital,29.99428093,77.0372587,136132,"Ladwa, Kurukshetra District, Haryana, 136132, India"
2594,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,mahabur community centre,ladwa,10-Sep-19,Medical ,Community Health Centre,29.99178652,77.04492996,136132,"Ladwa, Kurukshetra District, Haryana, 136132, India"
2595,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,bansal hospital,yamunagar road ladwa,09-Sep-19,Medical ,Bedded Hospital,29.99623045,77.05974008,136132,"SH6, Ladwa, Kurukshetra District, Haryana, 136132, India"
2596,Haryana,Mohindergarh,Ateli Nangal,Patikra,838171,Beded Hospital ,Patikra,24-Aug-19,Medical ,Bedded Hospital,28.05891667,76.14519667,123001,"Narnaul-Behror Road, Faizalipur, Narnaul, Mahendragarh District, Haryana, 123001, India"
2597,Haryana,Karnal,Gharaunda,Gharaunda,355792,OM HOSPITAL,RAILWAY ROAD GHARAUNDA ,08-Sep-19,Medical ,Bedded Hospital,29.53952906,76.96986305,132114,"Gharaunda, Karnal District, Haryana, 132114, India"
2598,Haryana,Karnal,Gharaunda,Gharaunda,355792,COMMUNITY HEALTH CENTER,BARSAT ROAD GHARAUNDA ,07-Sep-19,Medical ,Community Health Centre,29.53445592,76.97355096,132114,"Gharaunda, Karnal District, Haryana, 132114, India"
2599,Haryana,Karnal,Gharaunda,Gharaunda,355792,ALKA HOSPITAL,RAILWAY ROAD GHARAUNDA ,07-Sep-19,Medical ,Bedded Hospital,29.53930256,76.97103364,132114,"Gharaunda, Karnal District, Haryana, 132114, India"
2600,Haryana,Palwal,Prithla,Dudhola,1388682,CHC dudhola,dudhola,15-Sep-19,Medical ,Community Health Centre,28.209145,77.27325,121102,"PHC Dudhola, NH44, Baghola, Palwal, Palwal District, Haryana, 121102, India"
2601,Haryana,Fatehabad,Bhattu Kalan,Bhattu Kalan,144239,CHC HOSPITAL,VPO BHATTU MANDI,07-Sep-19,Medical ,Community Health Centre,29.38760539,75.34154245,125053,"CHC Bhattu kalan, SH21, Bhatu, Bhattukalan, Fatehabad District, Haryana, 125053, India"
2602,Haryana,Sonepat,Kathura,Bhawar,145907,veteirnary hospital ,bhawar,13-Sep-19,Medical ,Community Health Centre,29.19483333,76.51754,131302,"Gohana, Sonipat District, Haryana, India"
2603,Haryana,Karnal,Nilo Kheri,Shamgarh,976702,community hospital,shamgarh,06-Sep-19,Medical ,Community Health Centre,29.77683,76.95526167,132116,"Taraori, Nilokheri, Karnal District, Haryana, 132116, India"
2604,Haryana,Kurukshetra,Pehowa,Bhor Saidan 157,155110,Community Health Centra,Bhor Sahidan,25-Aug-19,Medical ,Community Health Centre,29.95957429,76.69734476,136118,"Pehowa, Kurukshetra District, Haryana, India"
2605,Haryana,Rohtak,Meham,Madina Kaursan,641788,community health centre madina,madina kaur,13-Aug-19,Medical ,Community Health Centre,28.94106051,76.43041013,124022,"Madina, Maham, Rohtak District, Haryana, 124022, India"
2606,Haryana,Rewari,Khol At Rewari,SIHA,989497,chc,siha,21-Aug-19,Medical ,Community Health Centre,28.27562346,76.42212078,123411,"Rewari, Rewari District, Haryana, 123411, India"
2607,Haryana,Jind,Safidon,Bagru Kalan,68961,hospital,bagrukalan,28-Aug-19,Medical ,Bedded Hospital,29.30156667,76.60578333,126112,"Safidon, Jind District, Haryana, India"
2608,Haryana,Rewari,Rewari,BHUDPUR,156271,community health centre ,Bhudpur ,22-Aug-19,Medical ,Community Health Centre,28.22997793,76.57359552,131024,"Bhud Pur, Rewari, Rewari District, Haryana, India"
2609,Haryana,Panipat,Panipat,Asan Kalan,50016,Dr bhai jai Singh memorial Jodhka hospital,Assan kalan,12-Sep-19,Medical ,Bedded Hospital,29.40958527,76.88005868,132103,"Asan Kalan, Matlauda, Panipat District, Haryana, India"
2610,Haryana,Sonepat,Rai,Pabsra,799094,SUB HEALTH CENTER,PABSERA,24-Aug-19,Medical ,Community Health Centre,28.92820358,77.17290938,131023,"Sonipat, Sonipat District, Haryana, 131023, India"
2611,Haryana,Rewari,Nahar,NAHAR,749400,Community health center Nahar,Nahar,07-Sep-19,Medical ,Community Health Centre,28.41128848,76.40164242,123303,"Koharar, Kosli, Rewari District, Haryana, 123303, India"
2612,Haryana,Sirsa,Rania,Bani,91422,community hospital,bani,10-Sep-19,Medical ,Community Health Centre,29.60235919,74.62053662,126110,"Rania, Sirsa District, Haryana, India"
2613,Haryana,Sirsa,Baragudha,Bada Gudha,97841,Community health centre ,Near Indian oil pump,27-Aug-19,Medical ,Community Health Centre,29.69847505,75.01249838,136131,"Goriwala, Sirsa District, Haryana, India"
2614,Haryana,Sirsa,Baragudha,Bada Gudha,97841,pvt Bedded hospital,Rori road,27-Aug-19,Medical ,Bedded Hospital,29.69528517,75.00820848,136131,"Goriwala, Sirsa District, Haryana, India"
2615,Haryana,Ambala,Barara,Bhudian,184361,MM hospital,budian,29-Aug-19,Medical ,Bedded Hospital,30.25165626,77.04810902,133201,"Maharishi Markandeshwar University, SH4, Barara, Ambala District, Haryana, 133201, India"
2616,Haryana,Hisar,Barwala,Panghal,818996,medical,panghal,10-Sep-19,Medical ,Community Health Centre,29.31409833,75.88488167,125121,"Dhani Garan, Barwala, Hisar District, Haryana, 125121, India"
2617,Haryana,Panipat,Samalkha,namonda,755250,SUB HEALTH CENTRE,Village Namonda,25-Nov-19,Medical ,Bedded Hospital,29.24367667,76.94449333,132101,"Samalkha, Panipat District, Haryana, 132101, India"
2618,Haryana,Sonepat,Rai,Nangal Kalan,757833,SUB HEALTH CENTER,NANGAL KALA,25-Aug-19,Medical ,Community Health Centre,28.89875705,77.13050182,131028,"Nangal Kalan, Badh Khalsa, Sonipat, Sonipat District, Haryana, 131028, India"
2619,Haryana,Kaithal,Guhla,Chaba,188727,CHC,GUHLA,10-Sep-19,Medical ,Community Health Centre,30.1108355,76.26873479,136027,"Chaba, Guhla, Kaithal District, Haryana, India"
2620,Haryana,Yamuna Nagar,Radaur,Naharpur,749692,gov community health center,naharpur,27-Aug-19,Medical ,Community Health Centre,30.05734911,77.2754717,135001,"CHC Naharpur, Jathlana Road, Shadipur, Jagadhri, Yamunanagar District, Haryana, 135001, India"
2621,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,Govt hospital shahabad,shahabad,28-Aug-19,Medical ,Bedded Hospital,30.17010237,76.86702568,132135,"Jagdish park chownk, , Shahbad, Kurukshetra District, Haryana, 132135, India"
2622,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,adesh hospital,shahabad,30-Aug-19,Medical ,Bedded Hospital,30.16694481,76.87726691,132135,"Shahbad, Kurukshetra District, Haryana, 132135, India"
2623,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,monindeu hospital,ayra school road,30-Aug-19,Medical ,Bedded Hospital,30.17008333,76.86603333,132135,"Shahbad, Kurukshetra District, Haryana, 132135, India"
2624,Haryana,Sirsa,Odhan,Odhan,793929,hospital,odhan,28-Aug-19,Medical ,Community Health Centre,29.76440848,74.90170022,125077,"Kalanwali, Sirsa District, Haryana, India"
2625,Haryana,Gurgaon,Gurgaon,Nainwal,751571,National Brain Research Centre,Nainwal Road,03-Sep-19,Medical ,Bedded Hospital,28.33776263,76.93810319,122050,"Manesar, Gurugram District, Haryana, 122050, India"
2626,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,POOJA HOSPITAL NANGAL CHAUDHARY , NANGAL CHAUDHARY ,16-Sep-19,Medical ,Bedded Hospital,27.89483798,76.11438194,123001,"Nangal Chaudhri, Narnaul, Mahendragarh District, Haryana, 123001, India"
2627,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,JYOTI HOSPITAL ,NANGAL CHAUDHARY ,16-Sep-19,Medical ,Bedded Hospital,27.89465417,76.11466295,123001,"Nangal Chaudhri, Narnaul, Mahendragarh District, Haryana, 123001, India"
2628,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,Prachi hospital ,Nangal chaudhary ,29-Sep-19,Medical ,Bedded Hospital,27.8961787,76.11520559,123001,"Nangal Chaudhri, Narnaul, Mahendragarh District, Haryana, 123001, India"
2629,Haryana,Ambala,Ambala,Bara,96562,Dispensrey,bara,26-Aug-19,Medical ,Community Health Centre,30.29850833,76.79823,133004,"Bara, Ambala, Ambala District, Haryana, 133004, India"
2630,Haryana,Sirsa,Sirsa,Panihari,819438,health centre,panihari ,27-Aug-19,Medical ,Community Health Centre,29.64349065,75.14588627,125060,"Sirsa, Sirsa District, Haryana, India"
2631,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,adarsh hospital,shahabad,30-Aug-19,Medical ,Bedded Hospital,30.17255833,76.86714833,132135,"Shahbad, Kurukshetra District, Haryana, 132135, India"
2632,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,BAIJNATH CHAUDHARY GOVT HOSPITAL NANGAL CHAUDHARY ,NANGAL CHAUDHARY ,23-Aug-19,Medical ,Community Health Centre,27.89204015,76.11473882,123001,"Nangal Chaudhri, Narnaul, Mahendragarh District, Haryana, 123001, India"
2633,Haryana,Rohtak,Lakhan Majra,Lakhan Majra,614262,community health centre ,lakhan majra,15-Sep-19,Medical ,Community Health Centre,29.04801168,76.47852355,124514,"NH352, Lakhan Majra, Rohtak District, Haryana, 124514, India"
2634,Haryana,Gurgaon,Gurgaon,Manesar,670536,Vardaan Hospital,Manesar Village,03-Sep-19,Medical ,Bedded Hospital,28.35521699,76.93261456,122051,"Industrial Modern Township Manesar, Manesar, Gurugram District, Haryana, 122051, India"
2635,Haryana,Bhiwani,Bhiwani,Manheru,672891,bedded hospital,manheru,06-Sep-19,Medical ,Bedded Hospital,28.70662884,76.21390264,127309,"Civil Hospital Manheru, Kitlana-Manharu Road, Bhiwani, Bhiwani District, Haryana, 127309, India"
2636,Haryana,Rewari,  Bawal,Bawal,116039,CHC BAWAL,BAWAL,22-Aug-19,Medical ,Community Health Centre,28.07408,76.57011333,123501,"Bawal, Rewari District, Haryana, 123501, India"
2637,Haryana,Jhajjar,Beri,Beri  khas,126385,civil hospital,beri,16-Sep-19,Medical ,Bedded Hospital,28.69792505,76.57778074,124201,"Civil Hospital Beri, MDR122, Beri, Jhajjar District, Haryana, 124201, India"
2638,Haryana,Sirsa,Nathusari Chopta,Nathusari Kalan,766072,COMMUNITY HEALTH CENTRE,NATHUSARI CHOPTA,10-Sep-19,Medical ,Community Health Centre,29.37193752,75.12657094,125010,"CHC Nathusari Chopta, MDR104, Nathusari Chopta, Sirsa District, Haryana, 125010, India"
2639,Haryana,Kurukshetra,Pehowa,Pehowa 41,844944,Govt Hospital Pehowa,Pehowa,08-Oct-19,Medical ,Bedded Hospital,29.97498016,76.58146934,132128,"Pehowa, Kurukshetra District, Haryana, 132128, India"
2640,Haryana,Kurukshetra,Pehowa,Pehowa 41,844944,Raj Nursing Home,Pehowa,08-Oct-19,Medical ,Bedded Hospital,29.9820039,76.57203791,136128,"Raj Nursing Home, SH6, Pehowa, Kurukshetra District, Haryana, 136128, India"
2641,Haryana,Sonepat,Murthal,Begah,1388535,HEALTH WELLNESS CENTRE,begah,30-Aug-19,Medical ,Bedded Hospital,29.15495505,77.10305058,132103,"PHC Begah, Ganaur, Sonipat District, Haryana, 132103, India"
2642,Haryana,Jhajjar,Jhajjar,Luhari,633203,Hospital Luhari,Luhari,14-Sep-19,Medical ,Community Health Centre,28.37602794,76.71589315,124001,"MDR132, Jhajjar, Jhajjar District, Haryana, India"
2643,Haryana,Jind,Jind,Manohar Pur,676754,chc,manoharpur,17-Sep-19,Medical ,Community Health Centre,29.34732066,76.40090798,126100,"Jind, Jind District, Haryana, 126100, India"
2644,Haryana,Sonepat,Sonepat,Bhatgaon Malian,142594,Verma Hospital,Bhatgaon,14-Sep-19,Medical ,Bedded Hospital,28.99550167,76.898625,,"Sonipat, Sonipat District, Haryana, India"
2645,Haryana,Bhiwani,Tosham,Mandhan,669241,madical,mandhan,07-Sep-19,Medical ,Community Health Centre,28.79300388,75.72733939,127043,"Tosham, Bhiwani District, Haryana, 127043, India"
2646,Haryana,Karnal,Nissing,Nisang,786428,Civil Hospital,nissing,06-Sep-19,Medical ,Community Health Centre,29.69161521,76.76048259,132024,"Civil Hospital Nissing, SH8, Nisang, Karnal, Karnal District, Haryana, 132024, India"
2647,Haryana,Rewari,Khol At Rewari,MAYAN,690041,Sub Health Center,Mayan,23-Aug-19,Medical ,Community Health Centre,28.21652046,76.41862578,123103,"Rewari, Rewari District, Haryana, 123103, India"
2648,Haryana,Ambala,Ambala,Metlan,699516,community centre ,Metlan ,25-Aug-19,Medical ,Community Health Centre,30.23282141,76.6473674,133001,"Ambala, Ambala District, Haryana, India"
2649,Haryana,Gurgaon,Gurgaon,Budhera,183938,SGT Hospital,Village Budhera ,14-Sep-19,Medical ,Bedded Hospital,28.47880085,76.90497118,122505,"Gurgaon, Gurugram District, Haryana, 122505, India"
2650,Haryana,Mohindergarh,Sihma,Nangal sirohi,1388533,Community Health Center,Nangal sirohi,05-Sep-19,Medical ,Community Health Centre,28.19497833,76.132385,123028,"Nangal Sirohi, Mahendragarh, Mahendragarh District, Haryana, India"
2651,Haryana,Sonepat,Murthal,Dipalpur,1388547,SUB HEALTH CENTRE,DIPALPUR,23-Aug-19,Medical ,Community Health Centre,28.98973253,77.11343424,131001,"Sonipat, Sonipat District, Haryana, 131001, India"
2652,Haryana,Karnal,Nissing,Nisang,786428,CHC,Nissing,05-Sep-19,Medical ,Community Health Centre,29.69177207,76.76055045,132024,"SH8, Nisang, Nissang, Karnal District, Haryana, 132024, India"
2653,Haryana,Sonepat,Kharkhauda,Nizampur Khurd,787331,Community Heath center,Nizampur khurd,19-Aug-19,Medical ,Community Health Centre,28.8291535,76.963691,131103,"Kharkhoda, Sonipat District, Haryana, 131103, India"
2654,Haryana,Karnal,Assandh,Bahri,71706,health centre, Bahri,06-Sep-19,Medical ,Community Health Centre,29.50523517,76.50754754,136027,"Alewa, Jind District, Haryana, India"
2655,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt goyal hoapital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83201852,74.97935734,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2656,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Mata Sundar Devi and garnal hospital,near Punjab bus stand,21-Nov-19,Medical ,Bedded Hospital,29.83183683,74.97801838,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2657,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,nandenpuri hospital,kalanwali,21-Nov-19,Medical ,Bedded Hospital,29.8331127,74.97495071,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2658,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt garg hospital,near railway station,21-Nov-19,Medical ,Bedded Hospital,29.83404866,74.98065094,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2659,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt Shri bala ji hospital,sbji mandi,21-Nov-19,Medical ,Bedded Hospital,29.83291189,74.98150748,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2660,Haryana,Kaithal,Pundri,Pundri,1388851,Guru Nanak Multispecialty Hospital  and Trauma Centre,Dhand Road Fatehpur Pundri,10-Sep-19,Medical ,Community Health Centre,29.77260667,76.55629167,132026,"Pundri, Fatehpur Pundri, Kaithal District, Haryana, 132026, India"
2661,Haryana,Karnal,Assandh,Assandh,50018,Civil Hospital,assandh,07-Sep-19,Medical ,Community Health Centre,29.52488009,76.61085986,132039,"PHC Assandh, NH709A, Asandh, Assandh, Karnal District, Haryana, 132039, India"
2662,Haryana,Karnal,Assandh,Balla,82495,chc,ballah,06-Sep-19,Medical ,Community Health Centre,29.49349792,76.79091101,132046,"Assandh, Karnal District, Haryana, 132046, India"
2663,Haryana,Kurukshetra,Pehowa,Mohanpur 2,710385,medical,mohanpur,06-Sep-19,Medical ,Community Health Centre,30.04346176,76.50649605,136118,"Pehowa, Kurukshetra District, Haryana, India"
2664,Haryana,Mohindergarh,Mohindergarh,Mohindergarh,711290,Bedded hospital,mahendergarh,06-Sep-19,Medical ,Bedded Hospital,28.27183,76.14953833,123029,"Goyal Dental Hospital, SH24, Mahendragarh, Mahendragarh District, Haryana, 123029, India"
2665,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,health centre,kalanwali,21-Nov-19,Medical ,Community Health Centre,29.82471917,74.97584952,125200,"MDR101A, Kalanwali, Sirsa District, Haryana, 125200, India"
2666,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt public hospital,sbji mandi,21-Nov-19,Medical ,Bedded Hospital,29.83287869,74.98156564,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2667,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,sidhu hospital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83219879,74.97914226,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2668,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,chanania hospital,near easer fuel pump,21-Nov-19,Medical ,Bedded Hospital,29.8323685,74.97320036,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2669,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Shri Shyam hospital,near modal  town,21-Nov-19,Medical ,Bedded Hospital,29.8306853,74.97650433,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2670,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Rohtak bawasir hospital,near Purana Sahara club,21-Nov-19,Medical ,Bedded Hospital,29.8318266,74.97476751,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2671,Haryana,Kaithal,Pundri,Pundri,1388851,CHC, Pundri Town near pundrik tirth,10-Sep-19,Medical ,Community Health Centre,29.76350167,76.56115833,132026,"Pundri, Fatehpur Pundri, Kaithal District, Haryana, 132026, India"
2672,Haryana,Mohindergarh,Kanina,Aghiar,52960,CHC,aughiar,19-Aug-19,Medical ,Community Health Centre,28.3511813,76.20395993,123029,"Aghiyar, Mahendragarh, Mahendragarh District, Haryana, India"
2673,Haryana,Panipat,Panipat,Badauli,61752,Hospital,Badauli,24-Aug-19,Medical ,Bedded Hospital,29.46848749,76.96586828,132103,"Babarpur, Panipat, Panipat District, Haryana, India"
2674,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,dhillon hospital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83237593,74.97913009,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2675,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,minakshi  hospital,near modal town,21-Nov-19,Medical ,Bedded Hospital,29.8306574,74.97647348,125200,"Kalanwali, Sirsa District, Haryana, 125200, India"
2676,Haryana,Gurgaon,Sohna,Bhondsi,154316,aravli hospital,bhondsi,18-Sep-19,Medical ,Bedded Hospital,28.36108267,77.07567394,122008,"Maruti Kunj Rd., Sohna, Gurugram District, Haryana, 122008, India"
2677,Haryana,Fatehabad,Bhuna,Bhuna,157617,CHC BHUNA,VPO BHUNA,09-Sep-19,Medical ,Community Health Centre,29.53855491,75.70789796,126008,"Bhuna, Fatehabad District, Haryana, 126008, India"
2678,Haryana,Bhiwani,Tosham,Dang Kalan,248163,Sub health center ,near high school ,09-Sep-19,Medical ,Community Health Centre,28.85965298,75.98467394,127021,"Kalan, Bawani Khera, Bhiwani District, Haryana, India"
2679,Haryana,Kaithal,Kaithal,Keorak,533545,Govt Dispensary,keorak,30-Aug-19,Medical ,Community Health Centre,29.86967369,76.47399078,132027,"Kaithal, Kaithal District, Haryana, 132027, India"
2680,Haryana,Karnal,Gharaunda,Munak,724507,New Life Hospital private Munak,Villege Munak,07-Sep-19,Medical ,Bedded Hospital,29.52058167,76.84742833,132040,"MDR115, Munak, Gharaunda, Karnal District, Haryana, India"
2681,Haryana,Karnal,Gharaunda,Munak,724507,Shri Ram Hospital Munak,Villege Munak,07-Sep-19,Medical ,Bedded Hospital,29.520665,76.8473,132040,"MDR115, Munak, Gharaunda, Karnal District, Haryana, India"
2682,Haryana,Jind,Jind,Lohchab,627834,chc,Lohchab,17-Sep-19,Medical ,Community Health Centre,29.35840662,76.43433477,126110,"Jind, Jind District, Haryana, 126110, India"
2683,Haryana,Sonepat,Mudlana,Mundlana,725693,CHC,vpo mundlana,12-Sep-19,Medical ,Community Health Centre,29.19638865,76.75768207,132103,"CHC Mundlana, NH709, Israna, Gohana, Sonipat District, Haryana, 132103, India"
2684,Haryana,Ambala,Ambala,Masatpur,211403,chc,chaurmastpur,23-Aug-19,Medical ,Community Health Centre,30.280805,76.69576833,134008,"Ismailpur, Ambala, Ambala District, Haryana, 134008, India"
2685,Haryana,Hisar,Hisar I,Mangali Surtia,671175,CHC,Mangali Surtia,11-Sep-19,Medical ,Community Health Centre,29.03908,75.73339,125001,"Hisar, Hisar District, Haryana, India"
2686,Haryana,Ambala,Ambala,Mehlan,695443,community centre ,mehlan,25-Aug-19,Medical ,Community Health Centre,30.16871322,76.63499882,135003,"Bhunni, Ambala, Ambala District, Haryana, India"
2687,Haryana,Panipat,Panipat,Naryana,1389517,COMMUNITY HEALTH CENTRE,Village Naryana,25-Nov-19,Medical ,Community Health Centre,29.27090667,76.95521833,132101,"Samalkha, Panipat District, Haryana, 132101, India"
2688,Haryana,Bhiwani,Kairu,Lohani,628955,Shri baba yogi neta nath hospital,lohani,10-Sep-19,Medical ,Bedded Hospital,28.70996117,76.04834041,125065,"Lohani, Bhiwani, Bhiwani District, Haryana, 125065, India"
2689,Haryana,Jhajjar,Bahadurgarh,Chhara,216951,hospital,chhara,06-Sep-19,Medical ,Community Health Centre,28.69480167,76.72575667,124504,"Hospital, Chhara, MDR122, Bahadurgarh, Jhajjar District, Haryana, 124504, India"
2690,Haryana,Sirsa,Nathusari Chopta,Chauburja,230556,bedded hospital,choburja to sahidawali,08-Sep-19,Medical ,Bedded Hospital,29.45508572,74.99182732,136131,"Nathusari Chopta, Sirsa District, Haryana, India"
2691,Haryana,Yamuna Nagar,Bilaspur,Ambwala,31845,S S Hospital ,Link road to Ambwala at Bilaspur ,21-Aug-19,Medical ,Bedded Hospital,30.30153936,77.29915141,135102,"Bilaspur, Yamunanagar District, Haryana, 135102, India"
2692,Haryana,Panipat,Panipat,khotpura,560466,CHC Khotpura,village Khotpura,02-Sep-19,Medical ,Community Health Centre,29.45302414,77.01008093,132103,"Gharaunda, Karnal District, Haryana, India"
2693,Haryana,Panipat,Madlauda,Madlauda,642074,CHC,Madlauda,24-Aug-19,Medical ,Community Health Centre,29.40666167,76.81455167,132113,"PHC, Madlauda, SH14, Bhalsi, Matlauda, Panipat District, Haryana, 132113, India"
2694,Haryana,Hisar,Hisar-II,Arya Nagar,47803,Community health center,Arya nagar,10-Sep-19,Medical ,Community Health Centre,29.11704243,75.64475868,125001,"CHC Aryanagar, MDR107, Balsamand, Hisar District, Haryana, 125001, India"
2695,Haryana,Sirsa,Rania,Bacher,59335,community hospital,bacher,09-Sep-19,Medical ,Community Health Centre,29.64957564,74.59696451,136131,"Bacher, Rania, Sirsa District, Haryana, India"
2696,Haryana,Panipat,Madlauda,Dadlana,239948,community health center,Dadlana,24-Aug-19,Medical ,Community Health Centre,29.4944765,76.89535623,132140,"Dadlana, Gharaunda, Karnal District, Haryana, India"
2697,Haryana,Sirsa,Odhan,Dadu,240230,Primary health centre,dadu,27-Aug-19,Medical ,Community Health Centre,29.83703048,75.04739386,125201,"Kalanwali, Sirsa District, Haryana, 125201, India"
2698,Haryana,Kurukshetra,Pehowa,Murtzapur 48,729085,CHC,Murtzapur,25-Aug-19,Medical ,Community Health Centre,29.98233438,76.66817862,136118,"Pehowa, Kurukshetra District, Haryana, India"
2699,Haryana,Bhiwani,Tosham,Tosham,1063212,bedded  hospital,tosham,09-Sep-19,Medical ,Bedded Hospital,28.87320376,75.91599391,125040,"Tosham Bus Stand, SH12, Tosham, Bhiwani District, Haryana, 125040, India"
2700,Haryana,Bhiwani,Tosham,Tosham,1063212,Goyal nursing home,Tosham,09-Sep-19,Medical ,Bedded Hospital,28.86987718,75.91785635,125040,"Tosham, Bhiwani District, Haryana, 125040, India"
2701,Haryana,Hisar,Adampur,Bagla,68287,SL MINDA HOSPITAL,Bagla,10-Sep-19,Medical ,Bedded Hospital,29.18909788,75.49663533,125052,"Bagla, Adampur, Hisar District, Haryana, India"
2702,Haryana,Jhajjar,Bahadurgarh,Badli,64033,CHC Badli,Badli,25-Aug-19,Medical ,Community Health Centre,28.57848523,76.8068461,124105,"Badli, Bahadurgarh, Jhajjar District, Haryana, India"
2703,Haryana,Jhajjar,Bahadurgarh,Badli,64033,CHC,Badli,05-Sep-19,Medical ,Community Health Centre,28.578635,76.80687667,124105,"Badli, Bahadurgarh, Jhajjar District, Haryana, India"
2704,Haryana,Jhajjar,Bahadurgarh,Badsa,64701,National Cancer Institute Badsa,Badsa,23-Aug-19,Medical ,Bedded Hospital,28.50068275,76.87429451,122505,"All India Institute of Medical Sciences - AIIMS Jhajjar, MDR136, Farrukhnagar, Gurugram District, Bahadurgarh, Jhajjar District, Haryana, 122505, India"
2705,Haryana,Bhiwani,Tosham,Tosham,1063212,aastha multispeciality hospital,Tosham,09-Sep-19,Medical ,Bedded Hospital,28.87124964,75.91694386,125040,"SH12, Tosham, Bhiwani District, Haryana, 125040, India"
2706,Haryana,Jind,Narwana,Ujhana,1070617,CHC Ujhana ,Ujhana narwana ,07-Sep-19,Medical ,Community Health Centre,29.71544225,76.12617234,126116,"PHC Ujhana, NH52, Garhi, Ujhana, Jind District, Haryana, 126116, India"
2707,Haryana,Kurukshetra,Ladwa,Chhapra 158,216804,upswasthya centre,chappra,11-Sep-19,Medical ,Community Health Centre,30.08538978,77.06725312,136118,"Radaur, Yamunanagar District, Haryana, India"
2708,Haryana,Kurukshetra,Ladwa,Chhapra 158,216804,community centre,chappra,26-Oct-19,Medical ,Community Health Centre,30.08925323,77.05772713,136132,"Bakali, Ladwa, Kurukshetra District, Haryana, 136132, India"
2709,Haryana,Hisar,Uklana,Chitan,229097,Community centre ,Chitan,10-Sep-19,Medical ,Community Health Centre,29.5575481,75.9139453,125001,"Chitan, Tohana, Fatehabad District, Haryana, India"
2710,Haryana,Gurgaon,Sohna,Badshahpur,64771,Ekta Hospitals,"Sohna raod, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.39797167,77.045885,122012,"Sector 49, Gurgaon, Gurugram District, Haryana, 122012, India"
2711,Haryana,Gurgaon,Sohna,Badshahpur,64771,Kamal Hospital,Badshahpur,29-Oct-19,Medical ,Bedded Hospital,28.3891114,77.0501347,122008,"Badshahpur, Sohna, Gurugram District, Haryana, 122008, India"
2712,Haryana,Gurgaon,Sohna,Badshahpur,64771,Chirag Hospital,"Sohna raod, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.392575,77.047905,122012,"Sohna Road, Sector 49, Gurgaon, Gurugram District, Haryana, 122012, India"
2713,Haryana,Gurgaon,Sohna,Badshahpur,64771,Sparsh Hospital,"Sohna road, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.395585,77.04648333,122012,"Sector 49, Gurgaon, Gurugram District, Haryana, 122012, India"
