Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
2580,Haryana,Karnal,Gharaunda,Gharaunda,355792,Kanwar Nursing Home,Arainpura Road Gharaunda,07-Sep-19,Medical ,Bedded Hospital,29.5374353,76.97539615
2581,Haryana,Karnal,Gharaunda,Gharaunda,355792,GOLDEN NURSING HOME ,RAILWAY ROAD GHARAUNDA ,08-Sep-19,Medical ,Bedded Hospital,29.54004523,76.96702374
2582,Haryana,Panipat,Madlauda,Asan Khurd,50017,Bhai Jai Singh Memorial Jodhka Hospital ,Assan Kalan,24-Aug-19,Medical ,Bedded Hospital,29.409625,76.880255
2583,Haryana,Kurukshetra,Babain,Babain 145,57037,Vaid Sadhu Ram hospital ,Babain,11-Sep-19,Medical ,Bedded Hospital,30.07226229,76.979388
2584,Haryana,Bhiwani,Bhiwani,Paluwas,813164,Sub Health Center Paluwas,Paluwas,04-Sep-19,Medical ,Community Health Centre,28.80416501,76.16159171
2585,Haryana,Mohindergarh,Ateli Nangal,Ateli,51064,Community health center ateli mandi,ateli,19-Aug-19,Medical ,Community Health Centre,28.10125709,76.26042724
2586,Haryana,Panipat,Madlauda,Bhadaur,61777,community Health Centre,Bhadur,24-Aug-19,Medical ,Community Health Centre,29.35064794,76.89211805
2587,Haryana,Karnal,Gharaunda,Gharaunda,355792,K D HOSPITAL,NEAR RAILWAY ROAD GHARAUNDA ,08-Sep-19,Medical ,Bedded Hospital,29.54016311,76.97293939
2588,Haryana,Karnal,Gharaunda,Gharaunda,355792,Bhalla Nursing Home Heart and Child Care Centre,Arainpura Road Near Ara Gharaunda,07-Sep-19,Medical ,Bedded Hospital,29.53675301,76.97445219
2589,Haryana,Rohtak,Sampla,Kultana,595481,community health centre,kultana,15-Sep-19,Medical ,Community Health Centre,28.751334,76.70216283
2590,Haryana,Faridabad,Ballabgarh,Kurali,603284,Community Health Center,Village Kurali,22-Aug-19,Medical ,Community Health Centre,28.32347886,77.43133226
2591,Haryana,Karnal,Gharaunda,Gharaunda,355792,DR BHATIA HOSPITAL,PANOURI ROAD ,08-Sep-19,Medical ,Bedded Hospital,29.53709034,76.97472435
2592,Haryana,Kurukshetra,Thanesar,Pipli 360,855255,Rani Maa eye and general Hospital,pipli,17-Jan-20,Medical ,Bedded Hospital,29.9783815,76.88865291
2593,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,verma hospital,ladwa,09-Sep-19,Medical ,Bedded Hospital,29.99428093,77.0372587
2594,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,mahabur community centre,ladwa,10-Sep-19,Medical ,Community Health Centre,29.99178652,77.04492996
2595,Haryana,Kurukshetra,Ladwa,Ladwa Rural 76,612535,bansal hospital,yamunagar road ladwa,09-Sep-19,Medical ,Bedded Hospital,29.99623045,77.05974008
2596,Haryana,Mohindergarh,Ateli Nangal,Patikra,838171,Beded Hospital ,Patikra,24-Aug-19,Medical ,Bedded Hospital,28.05891667,76.14519667
2597,Haryana,Karnal,Gharaunda,Gharaunda,355792,OM HOSPITAL,RAILWAY ROAD GHARAUNDA ,08-Sep-19,Medical ,Bedded Hospital,29.53952906,76.96986305
2598,Haryana,Karnal,Gharaunda,Gharaunda,355792,COMMUNITY HEALTH CENTER,BARSAT ROAD GHARAUNDA ,07-Sep-19,Medical ,Community Health Centre,29.53445592,76.97355096
2599,Haryana,Karnal,Gharaunda,Gharaunda,355792,ALKA HOSPITAL,RAILWAY ROAD GHARAUNDA ,07-Sep-19,Medical ,Bedded Hospital,29.53930256,76.97103364
2600,Haryana,Palwal,Prithla,Dudhola,1388682,CHC dudhola,dudhola,15-Sep-19,Medical ,Community Health Centre,28.209145,77.27325
2601,Haryana,Fatehabad,Bhattu Kalan,Bhattu Kalan,144239,CHC HOSPITAL,VPO BHATTU MANDI,07-Sep-19,Medical ,Community Health Centre,29.38760539,75.34154245
2602,Haryana,Sonepat,Kathura,Bhawar,145907,veteirnary hospital ,bhawar,13-Sep-19,Medical ,Community Health Centre,29.19483333,76.51754
2603,Haryana,Karnal,Nilo Kheri,Shamgarh,976702,community hospital,shamgarh,06-Sep-19,Medical ,Community Health Centre,29.77683,76.95526167
2604,Haryana,Kurukshetra,Pehowa,Bhor Saidan 157,155110,Community Health Centra,Bhor Sahidan,25-Aug-19,Medical ,Community Health Centre,29.95957429,76.69734476
2605,Haryana,Rohtak,Meham,Madina Kaursan,641788,community health centre madina,madina kaur,13-Aug-19,Medical ,Community Health Centre,28.94106051,76.43041013
2606,Haryana,Rewari,Khol At Rewari,SIHA,989497,chc,siha,21-Aug-19,Medical ,Community Health Centre,28.27562346,76.42212078
2607,Haryana,Jind,Safidon,Bagru Kalan,68961,hospital,bagrukalan,28-Aug-19,Medical ,Bedded Hospital,29.30156667,76.60578333
2608,Haryana,Rewari,Rewari,BHUDPUR,156271,community health centre ,Bhudpur ,22-Aug-19,Medical ,Community Health Centre,28.22997793,76.57359552
2609,Haryana,Panipat,Panipat,Asan Kalan,50016,Dr bhai jai Singh memorial Jodhka hospital,Assan kalan,12-Sep-19,Medical ,Bedded Hospital,29.40958527,76.88005868
2610,Haryana,Sonepat,Rai,Pabsra,799094,SUB HEALTH CENTER,PABSERA,24-Aug-19,Medical ,Community Health Centre,28.92820358,77.17290938
2611,Haryana,Rewari,Nahar,NAHAR,749400,Community health center Nahar,Nahar,07-Sep-19,Medical ,Community Health Centre,28.41128848,76.40164242
2612,Haryana,Sirsa,Rania,Bani,91422,community hospital,bani,10-Sep-19,Medical ,Community Health Centre,29.60235919,74.62053662
2613,Haryana,Sirsa,Baragudha,Bada Gudha,97841,Community health centre ,Near Indian oil pump,27-Aug-19,Medical ,Community Health Centre,29.69847505,75.01249838
2614,Haryana,Sirsa,Baragudha,Bada Gudha,97841,pvt Bedded hospital,Rori road,27-Aug-19,Medical ,Bedded Hospital,29.69528517,75.00820848
2615,Haryana,Ambala,Barara,Bhudian,184361,MM hospital,budian,29-Aug-19,Medical ,Bedded Hospital,30.25165626,77.04810902
2616,Haryana,Hisar,Barwala,Panghal,818996,medical,panghal,10-Sep-19,Medical ,Community Health Centre,29.31409833,75.88488167
2617,Haryana,Panipat,Samalkha,namonda,755250,SUB HEALTH CENTRE,Village Namonda,25-Nov-19,Medical ,Bedded Hospital,29.24367667,76.94449333
2618,Haryana,Sonepat,Rai,Nangal Kalan,757833,SUB HEALTH CENTER,NANGAL KALA,25-Aug-19,Medical ,Community Health Centre,28.89875705,77.13050182
2619,Haryana,Kaithal,Guhla,Chaba,188727,CHC,GUHLA,10-Sep-19,Medical ,Community Health Centre,30.1108355,76.26873479
2620,Haryana,Yamuna Nagar,Radaur,Naharpur,749692,gov community health center,naharpur,27-Aug-19,Medical ,Community Health Centre,30.05734911,77.2754717
2621,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,Govt hospital shahabad,shahabad,28-Aug-19,Medical ,Bedded Hospital,30.17010237,76.86702568
2622,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,adesh hospital,shahabad,30-Aug-19,Medical ,Bedded Hospital,30.16694481,76.87726691
2623,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,monindeu hospital,ayra school road,30-Aug-19,Medical ,Bedded Hospital,30.17008333,76.86603333
2624,Haryana,Sirsa,Odhan,Odhan,793929,hospital,odhan,28-Aug-19,Medical ,Community Health Centre,29.76440848,74.90170022
2625,Haryana,Gurgaon,Gurgaon,Nainwal,751571,National Brain Research Centre,Nainwal Road,03-Sep-19,Medical ,Bedded Hospital,28.33776263,76.93810319
2626,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,POOJA HOSPITAL NANGAL CHAUDHARY , NANGAL CHAUDHARY ,16-Sep-19,Medical ,Bedded Hospital,27.89483798,76.11438194
2627,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,JYOTI HOSPITAL ,NANGAL CHAUDHARY ,16-Sep-19,Medical ,Bedded Hospital,27.89465417,76.11466295
2628,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,Prachi hospital ,Nangal chaudhary ,29-Sep-19,Medical ,Bedded Hospital,27.8961787,76.11520559
2629,Haryana,Ambala,Ambala,Bara,96562,Dispensrey,bara,26-Aug-19,Medical ,Community Health Centre,30.29850833,76.79823
2630,Haryana,Sirsa,Sirsa,Panihari,819438,health centre,panihari ,27-Aug-19,Medical ,Community Health Centre,29.64349065,75.14588627
2631,Haryana,Kurukshetra,Shahbad,Patti Kankra Shahbad 232,840763,adarsh hospital,shahabad,30-Aug-19,Medical ,Bedded Hospital,30.17255833,76.86714833
2632,Haryana,Mohindergarh,Nangal Chaudhary,Nagal Chaudhry,757794,BAIJNATH CHAUDHARY GOVT HOSPITAL NANGAL CHAUDHARY ,NANGAL CHAUDHARY ,23-Aug-19,Medical ,Community Health Centre,27.89204015,76.11473882
2633,Haryana,Rohtak,Lakhan Majra,Lakhan Majra,614262,community health centre ,lakhan majra,15-Sep-19,Medical ,Community Health Centre,29.04801168,76.47852355
2634,Haryana,Gurgaon,Gurgaon,Manesar,670536,Vardaan Hospital,Manesar Village,03-Sep-19,Medical ,Bedded Hospital,28.35521699,76.93261456
2635,Haryana,Bhiwani,Bhiwani,Manheru,672891,bedded hospital,manheru,06-Sep-19,Medical ,Bedded Hospital,28.70662884,76.21390264
2636,Haryana,Rewari,  Bawal,Bawal,116039,CHC BAWAL,BAWAL,22-Aug-19,Medical ,Community Health Centre,28.07408,76.57011333
2637,Haryana,Jhajjar,Beri,Beri  khas,126385,civil hospital,beri,16-Sep-19,Medical ,Bedded Hospital,28.69792505,76.57778074
2638,Haryana,Sirsa,Nathusari Chopta,Nathusari Kalan,766072,COMMUNITY HEALTH CENTRE,NATHUSARI CHOPTA,10-Sep-19,Medical ,Community Health Centre,29.37193752,75.12657094
2639,Haryana,Kurukshetra,Pehowa,Pehowa 41,844944,Govt Hospital Pehowa,Pehowa,08-Oct-19,Medical ,Bedded Hospital,29.97498016,76.58146934
2640,Haryana,Kurukshetra,Pehowa,Pehowa 41,844944,Raj Nursing Home,Pehowa,08-Oct-19,Medical ,Bedded Hospital,29.9820039,76.57203791
2641,Haryana,Sonepat,Murthal,Begah,1388535,HEALTH WELLNESS CENTRE,begah,30-Aug-19,Medical ,Bedded Hospital,29.15495505,77.10305058
2642,Haryana,Jhajjar,Jhajjar,Luhari,633203,Hospital Luhari,Luhari,14-Sep-19,Medical ,Community Health Centre,28.37602794,76.71589315
2643,Haryana,Jind,Jind,Manohar Pur,676754,chc,manoharpur,17-Sep-19,Medical ,Community Health Centre,29.34732066,76.40090798
2644,Haryana,Sonepat,Sonepat,Bhatgaon Malian,142594,Verma Hospital,Bhatgaon,14-Sep-19,Medical ,Bedded Hospital,28.99550167,76.898625
2645,Haryana,Bhiwani,Tosham,Mandhan,669241,madical,mandhan,07-Sep-19,Medical ,Community Health Centre,28.79300388,75.72733939
2646,Haryana,Karnal,Nissing,Nisang,786428,Civil Hospital,nissing,06-Sep-19,Medical ,Community Health Centre,29.69161521,76.76048259
2647,Haryana,Rewari,Khol At Rewari,MAYAN,690041,Sub Health Center,Mayan,23-Aug-19,Medical ,Community Health Centre,28.21652046,76.41862578
2648,Haryana,Ambala,Ambala,Metlan,699516,community centre ,Metlan ,25-Aug-19,Medical ,Community Health Centre,30.23282141,76.6473674
2649,Haryana,Gurgaon,Gurgaon,Budhera,183938,SGT Hospital,Village Budhera ,14-Sep-19,Medical ,Bedded Hospital,28.47880085,76.90497118
2650,Haryana,Mohindergarh,Sihma,Nangal sirohi,1388533,Community Health Center,Nangal sirohi,05-Sep-19,Medical ,Community Health Centre,28.19497833,76.132385
2651,Haryana,Sonepat,Murthal,Dipalpur,1388547,SUB HEALTH CENTRE,DIPALPUR,23-Aug-19,Medical ,Community Health Centre,28.98973253,77.11343424
2652,Haryana,Karnal,Nissing,Nisang,786428,CHC,Nissing,05-Sep-19,Medical ,Community Health Centre,29.69177207,76.76055045
2653,Haryana,Sonepat,Kharkhauda,Nizampur Khurd,787331,Community Heath center,Nizampur khurd,19-Aug-19,Medical ,Community Health Centre,28.8291535,76.963691
2654,Haryana,Karnal,Assandh,Bahri,71706,health centre, Bahri,06-Sep-19,Medical ,Community Health Centre,29.50523517,76.50754754
2655,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt goyal hoapital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83201852,74.97935734
2656,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Mata Sundar Devi and garnal hospital,near Punjab bus stand,21-Nov-19,Medical ,Bedded Hospital,29.83183683,74.97801838
2657,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,nandenpuri hospital,kalanwali,21-Nov-19,Medical ,Bedded Hospital,29.8331127,74.97495071
2658,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt garg hospital,near railway station,21-Nov-19,Medical ,Bedded Hospital,29.83404866,74.98065094
2659,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt Shri bala ji hospital,sbji mandi,21-Nov-19,Medical ,Bedded Hospital,29.83291189,74.98150748
2660,Haryana,Kaithal,Pundri,Pundri,1388851,Guru Nanak Multispecialty Hospital  and Trauma Centre,Dhand Road Fatehpur Pundri,10-Sep-19,Medical ,Community Health Centre,29.77260667,76.55629167
2661,Haryana,Karnal,Assandh,Assandh,50018,Civil Hospital,assandh,07-Sep-19,Medical ,Community Health Centre,29.52488009,76.61085986
2662,Haryana,Karnal,Assandh,Balla,82495,chc,ballah,06-Sep-19,Medical ,Community Health Centre,29.49349792,76.79091101
2663,Haryana,Kurukshetra,Pehowa,Mohanpur 2,710385,medical,mohanpur,06-Sep-19,Medical ,Community Health Centre,30.04346176,76.50649605
2664,Haryana,Mohindergarh,Mohindergarh,Mohindergarh,711290,Bedded hospital,mahendergarh,06-Sep-19,Medical ,Bedded Hospital,28.27183,76.14953833
2665,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,health centre,kalanwali,21-Nov-19,Medical ,Community Health Centre,29.82471917,74.97584952
2666,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Pvt public hospital,sbji mandi,21-Nov-19,Medical ,Bedded Hospital,29.83287869,74.98156564
2667,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,sidhu hospital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83219879,74.97914226
2668,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,chanania hospital,near easer fuel pump,21-Nov-19,Medical ,Bedded Hospital,29.8323685,74.97320036
2669,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Shri Shyam hospital,near modal  town,21-Nov-19,Medical ,Bedded Hospital,29.8306853,74.97650433
2670,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,Rohtak bawasir hospital,near Purana Sahara club,21-Nov-19,Medical ,Bedded Hospital,29.8318266,74.97476751
2671,Haryana,Kaithal,Pundri,Pundri,1388851,CHC, Pundri Town near pundrik tirth,10-Sep-19,Medical ,Community Health Centre,29.76350167,76.56115833
2672,Haryana,Mohindergarh,Kanina,Aghiar,52960,CHC,aughiar,19-Aug-19,Medical ,Community Health Centre,28.3511813,76.20395993
2673,Haryana,Panipat,Panipat,Badauli,61752,Hospital,Badauli,24-Aug-19,Medical ,Bedded Hospital,29.46848749,76.96586828
2674,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,dhillon hospital,doctor markit,21-Nov-19,Medical ,Bedded Hospital,29.83237593,74.97913009
2675,Haryana,Sirsa,Odhan,Kalanwali Rural,1371681,minakshi  hospital,near modal town,21-Nov-19,Medical ,Bedded Hospital,29.8306574,74.97647348
2676,Haryana,Gurgaon,Sohna,Bhondsi,154316,aravli hospital,bhondsi,18-Sep-19,Medical ,Bedded Hospital,28.36108267,77.07567394
2677,Haryana,Fatehabad,Bhuna,Bhuna,157617,CHC BHUNA,VPO BHUNA,09-Sep-19,Medical ,Community Health Centre,29.53855491,75.70789796
2678,Haryana,Bhiwani,Tosham,Dang Kalan,248163,Sub health center ,near high school ,09-Sep-19,Medical ,Community Health Centre,28.85965298,75.98467394
2679,Haryana,Kaithal,Kaithal,Keorak,533545,Govt Dispensary,keorak,30-Aug-19,Medical ,Community Health Centre,29.86967369,76.47399078
2680,Haryana,Karnal,Gharaunda,Munak,724507,New Life Hospital private Munak,Villege Munak,07-Sep-19,Medical ,Bedded Hospital,29.52058167,76.84742833
2681,Haryana,Karnal,Gharaunda,Munak,724507,Shri Ram Hospital Munak,Villege Munak,07-Sep-19,Medical ,Bedded Hospital,29.520665,76.8473
2682,Haryana,Jind,Jind,Lohchab,627834,chc,Lohchab,17-Sep-19,Medical ,Community Health Centre,29.35840662,76.43433477
2683,Haryana,Sonepat,Mudlana,Mundlana,725693,CHC,vpo mundlana,12-Sep-19,Medical ,Community Health Centre,29.19638865,76.75768207
2684,Haryana,Ambala,Ambala,Masatpur,211403,chc,chaurmastpur,23-Aug-19,Medical ,Community Health Centre,30.280805,76.69576833
2685,Haryana,Hisar,Hisar I,Mangali Surtia,671175,CHC,Mangali Surtia,11-Sep-19,Medical ,Community Health Centre,29.03908,75.73339
2686,Haryana,Ambala,Ambala,Mehlan,695443,community centre ,mehlan,25-Aug-19,Medical ,Community Health Centre,30.16871322,76.63499882
2687,Haryana,Panipat,Panipat,Naryana,1389517,COMMUNITY HEALTH CENTRE,Village Naryana,25-Nov-19,Medical ,Community Health Centre,29.27090667,76.95521833
2688,Haryana,Bhiwani,Kairu,Lohani,628955,Shri baba yogi neta nath hospital,lohani,10-Sep-19,Medical ,Bedded Hospital,28.70996117,76.04834041
2689,Haryana,Jhajjar,Bahadurgarh,Chhara,216951,hospital,chhara,06-Sep-19,Medical ,Community Health Centre,28.69480167,76.72575667
2690,Haryana,Sirsa,Nathusari Chopta,Chauburja,230556,bedded hospital,choburja to sahidawali,08-Sep-19,Medical ,Bedded Hospital,29.45508572,74.99182732
2691,Haryana,Yamuna Nagar,Bilaspur,Ambwala,31845,S S Hospital ,Link road to Ambwala at Bilaspur ,21-Aug-19,Medical ,Bedded Hospital,30.30153936,77.29915141
2692,Haryana,Panipat,Panipat,khotpura,560466,CHC Khotpura,village Khotpura,02-Sep-19,Medical ,Community Health Centre,29.45302414,77.01008093
2693,Haryana,Panipat,Madlauda,Madlauda,642074,CHC,Madlauda,24-Aug-19,Medical ,Community Health Centre,29.40666167,76.81455167
2694,Haryana,Hisar,Hisar-II,Arya Nagar,47803,Community health center,Arya nagar,10-Sep-19,Medical ,Community Health Centre,29.11704243,75.64475868
2695,Haryana,Sirsa,Rania,Bacher,59335,community hospital,bacher,09-Sep-19,Medical ,Community Health Centre,29.64957564,74.59696451
2696,Haryana,Panipat,Madlauda,Dadlana,239948,community health center,Dadlana,24-Aug-19,Medical ,Community Health Centre,29.4944765,76.89535623
2697,Haryana,Sirsa,Odhan,Dadu,240230,Primary health centre,dadu,27-Aug-19,Medical ,Community Health Centre,29.83703048,75.04739386
2698,Haryana,Kurukshetra,Pehowa,Murtzapur 48,729085,CHC,Murtzapur,25-Aug-19,Medical ,Community Health Centre,29.98233438,76.66817862
2699,Haryana,Bhiwani,Tosham,Tosham,1063212,bedded  hospital,tosham,09-Sep-19,Medical ,Bedded Hospital,28.87320376,75.91599391
2700,Haryana,Bhiwani,Tosham,Tosham,1063212,Goyal nursing home,Tosham,09-Sep-19,Medical ,Bedded Hospital,28.86987718,75.91785635
2701,Haryana,Hisar,Adampur,Bagla,68287,SL MINDA HOSPITAL,Bagla,10-Sep-19,Medical ,Bedded Hospital,29.18909788,75.49663533
2702,Haryana,Jhajjar,Bahadurgarh,Badli,64033,CHC Badli,Badli,25-Aug-19,Medical ,Community Health Centre,28.57848523,76.8068461
2703,Haryana,Jhajjar,Bahadurgarh,Badli,64033,CHC,Badli,05-Sep-19,Medical ,Community Health Centre,28.578635,76.80687667
2704,Haryana,Jhajjar,Bahadurgarh,Badsa,64701,National Cancer Institute Badsa,Badsa,23-Aug-19,Medical ,Bedded Hospital,28.50068275,76.87429451
2705,Haryana,Bhiwani,Tosham,Tosham,1063212,aastha multispeciality hospital,Tosham,09-Sep-19,Medical ,Bedded Hospital,28.87124964,75.91694386
2706,Haryana,Jind,Narwana,Ujhana,1070617,CHC Ujhana ,Ujhana narwana ,07-Sep-19,Medical ,Community Health Centre,29.71544225,76.12617234
2707,Haryana,Kurukshetra,Ladwa,Chhapra 158,216804,upswasthya centre,chappra,11-Sep-19,Medical ,Community Health Centre,30.08538978,77.06725312
2708,Haryana,Kurukshetra,Ladwa,Chhapra 158,216804,community centre,chappra,26-Oct-19,Medical ,Community Health Centre,30.08925323,77.05772713
2709,Haryana,Hisar,Uklana,Chitan,229097,Community centre ,Chitan,10-Sep-19,Medical ,Community Health Centre,29.5575481,75.9139453
2710,Haryana,Gurgaon,Sohna,Badshahpur,64771,Ekta Hospitals,"Sohna raod, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.39797167,77.045885
2711,Haryana,Gurgaon,Sohna,Badshahpur,64771,Kamal Hospital,Badshahpur,29-Oct-19,Medical ,Bedded Hospital,28.3891114,77.0501347
2712,Haryana,Gurgaon,Sohna,Badshahpur,64771,Chirag Hospital,"Sohna raod, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.392575,77.047905
2713,Haryana,Gurgaon,Sohna,Badshahpur,64771,Sparsh Hospital,"Sohna road, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.395585,77.04648333
2714,Haryana,Gurgaon,Sohna,Badshahpur,64771,Bhaskar Hospital,"sohna raod, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.395445,77.04648167
2715,Haryana,Gurgaon,Sohna,Badshahpur,64771,Sanjeevani Hospital,"Sohna road, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.39674167,77.04621333
2716,Haryana,Gurgaon,Sohna,Badshahpur,64771,Medway hospital ,badshapur,18-Sep-19,Medical ,Bedded Hospital,28.3897878,77.05288203
2717,Haryana,Gurgaon,Sohna,Badshahpur,64771,Vatika hospital,Badshahpur,29-Oct-19,Medical ,Bedded Hospital,28.39982,77.04534667
2718,Haryana,Gurgaon,Sohna,Badshahpur,64771,Sona Devi Memorial Hospital,"Sohna Road, Badshahpur",29-Oct-19,Medical ,Bedded Hospital,28.39670667,77.04625333
2719,Haryana,Hisar,Hansi-II,Khanda Kheri,544365,CHC,khanda kheri,11-Sep-19,Medical ,Community Health Centre,29.18891589,76.22623335
2720,Haryana,Jind,Narwana,Narwana,764213,Madical,Narwana,05-Aug-19,Medical ,Bedded Hospital,29.601695,76.12755333
2721,Haryana,Jind,Jind,Kharak Ramji,547555,hospital,kharakramji,12-Sep-19,Medical ,Community Health Centre,29.30514167,76.433215
2722,Haryana,Panipat,Bapauli,Bapoli,96180,CHC,Bapoli,24-Aug-19,Medical ,Community Health Centre,29.32715667,77.08504167
2723,Haryana,Kaithal,Kaithal,Nawach,771635,samidayak kender,nouch,30-Aug-19,Medical ,Community Health Centre,29.9336156,76.44848739
2724,Haryana,Bhiwani,Bawani Khera,barsi,107759,community health centre,Barsi,05-Sep-19,Medical ,Community Health Centre,29.044535,76.02039667
2725,Haryana,Rewari,Khol At Rewari,KHALETA,542087,sub health centre ,Khaleta,23-Aug-19,Medical ,Community Health Centre,28.22856529,76.41658485
2726,Haryana,Rewari,Jatusana,Jatusana,458154,upswasthaya centre,jatusana,14-Sep-19,Medical ,Community Health Centre,28.33347,76.53664667
2727,Haryana,Yamuna Nagar,Chhachhrauli,Kot Mushtarka,582501,ayushmaan bharat health and wellness center,kot mushtarka,27-Aug-19,Medical ,Community Health Centre,30.32684051,77.41112884
2728,Haryana,Karnal,Gharaunda,Kutail,608540,college  of physioherapy hospital  kutail ,vill kutail ,07-Sep-19,Medical ,Community Health Centre,29.61860213,77.01358868
2729,Haryana,Gurgaon,Gurgaon,Basai,109611,SGT Hospital Urban Centre Gurugram ,Basai to Garhi Harsaru Road ,02-Sep-19,Medical ,Bedded Hospital,28.45831017,76.97493447
2730,Haryana,Gurgaon,Gurgaon,Basai,109611,Alfaa Hospital,Village Basai,14-Sep-19,Medical ,Bedded Hospital,28.45744335,76.98594766
2731,Haryana,Sirsa,Sirsa,Madho Singhana,640160,community health centre,sirsa ellenabad to Jamal road,11-Sep-19,Medical ,Community Health Centre,29.42745294,74.92845035
2732,Haryana,Karnal,Nilo Kheri,Bhaini Khurd,132944,community hospital,bhaini khurd,06-Sep-19,Medical ,Community Health Centre,29.75285,76.94809833
2733,Haryana,Sonepat,Rai,Khatkar,552749,SUB HEALTH CENTER,KHATKAR,25-Aug-19,Medical ,Community Health Centre,28.8757925,77.16571765
2734,Haryana,Sonepat,Rai,Manoli,676819,SUB HEALTH CENTER,MANOLI,24-Aug-19,Medical ,Community Health Centre,28.90512049,77.18169093
2735,Haryana,Rewari,Khol At Rewari,ZAINABAD,1112054,Community health centre,Zainabad,23-Aug-19,Medical ,Community Health Centre,28.28337329,76.38189144
2736,Haryana,Mohindergarh,Sihma,Tigra,1388523,medical,road bus stand,15-Sep-19,Medical ,Community Health Centre,28.1108,76.21829333
2737,Haryana,Sonepat,Ganaur,Kherigujar,555623,sub health center,kheri gujar,05-Sep-19,Medical ,Community Health Centre,29.1612639,76.96983376
2738,Haryana,Rohtak,Sampla,Kheri Sampala,555723,community health centre,Kheri sampla,15-Sep-19,Medical ,Community Health Centre,28.76871237,76.76728517
2739,Haryana,Bhiwani,Tosham,Miran,702853,Community health center,Miran,08-Sep-19,Medical ,Community Health Centre,28.8407007,75.7365029
2740,Haryana,Hisar,Narnaund,Mirchpur,703064,chc,mircpur,10-Sep-19,Medical ,Community Health Centre,29.31657699,76.17993322
2741,Haryana,Rewari,Rewari,MEERPUR,692661,cancer hospital,MEERPUR,21-Aug-19,Medical ,Bedded Hospital,28.24457348,76.68682796
2742,Haryana,Charkhi Dadri,Badhra,Bhandwa,1262139,CHC,Bhandwa,10-Sep-19,Medical ,Community Health Centre,28.49952333,75.912645
2743,Haryana,Charkhi Dadri,Badhra,Gopi,1262156,COMMUNITY HEALTH CENTER,GOPI,10-Sep-19,Medical ,Community Health Centre,28.54990351,75.95311563
2744,Haryana,Rewari,Khol At Rewari,MANDOLA,669963,community health center,mandola,04-Nov-19,Medical ,Community Health Centre,28.22692667,76.36225333
2745,Haryana,Kaithal,Rajound,Titram,1060207,primary health centre,"Titram

",09-Sep-19,Medical ,Community Health Centre,29.72100883,76.40296737
2746,Haryana,Gurgaon,Sohna,Ulhawas,1071537,Swastik hospital ,Ullawas,19-Sep-19,Medical ,Bedded Hospital,28.40544088,77.09190256
2747,Haryana,Gurgaon,Sohna,Ulhawas,1071537,Indra Gandhi eye hospital ,Ullawas ,19-Sep-19,Medical ,Bedded Hospital,28.40968627,77.08875172
2748,Haryana,Yamuna Nagar,Chhachhrauli,Chhachhrauli,215872,COMMUNITY HEALTH CENTER,CHHACHHAROLI,24-Aug-19,Medical ,Community Health Centre,30.24053226,77.35929586
2749,Haryana,Hisar,Adampur,Mohabatpur,710841,Ayurvedic Hospital,Mohbatpur,13-Sep-19,Medical ,Community Health Centre,29.22113392,75.44546435
2750,Haryana,Hisar,Adampur,Mohabatpur,710841,Sub Health Center,Mohbatpur,13-Sep-19,Medical ,Community Health Centre,29.22110718,75.44561548
2751,Haryana,Palwal,Hathin,Gharot,1262390,homyopethic hospital,Gharoot,14-Sep-19,Medical ,Community Health Centre,28.0738285,77.21271696
